symbol,name,type,currency,inception_date,sector,industry
LW,Lamb Weston,COMPANY,USD,2018-12-03,Consumer Staples,Packaged Foods & Meats
LYB,LyondellBasell,COMPANY,USD,2012-09-05,Materials,Specialty Chemicals
LYV,Live Nation Entertainment,COMPANY,USD,2019-12-23,Communication Services,Movies & Entertainment
MA,Mastercard,COMPANY,USD,2008-07-18,Information Technology,Data Processing & Outsourced Services
MAA,Mid-America Apartments,COMPANY,USD,2016-12-02,Real Estate,Residential REITs
MAR,Marriott International,COMPANY,USD,,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
MAS,Masco,COMPANY,USD,1981-06-30,Industrials,Building Products
MCD,McDonald's,COMPANY,USD,1970-06-30,Consumer Discretionary,Restaurants
MCHP,Microchip Technology,COMPANY,USD,2007-09-07,Information Technology,Semiconductors
MCK,McKesson Corporation,COMPANY,USD,,Health Care,Health Care Distributors
MCO,Moody's Corporation,COMPANY,USD,,Financials,Financial Exchanges & Data
MDLZ,Mondelez International,COMPANY,USD,2012-10-02,Consumer Staples,Packaged Foods & Meats
MDT,Medtronic,COMPANY,USD,1986-10-31,Health Care,Health Care Equipment
MET,MetLife,COMPANY,USD,,Financials,Life & Health Insurance
MGM,MGM Resorts International,COMPANY,USD,2017-07-26,Consumer Discretionary,Casinos & Gaming
MHK,Mohawk Industries,COMPANY,USD,2013-12-23,Consumer Discretionary,Home Furnishings
MKC,McCormick & Company,COMPANY,USD,,Consumer Staples,Packaged Foods & Meats
MKTX,MarketAxess,COMPANY,USD,2019-07-01,Financials,Financial Exchanges & Data
MLM,Martin Marietta Materials,COMPANY,USD,2014-07-02,Materials,Construction Materials
MMC,Marsh & McLennan,COMPANY,USD,1987-08-31,Financials,Insurance Brokers
MMM,3M,COMPANY,USD,1976-08-09,Industrials,Industrial Conglomerates
MNST,Monster Beverage,COMPANY,USD,2012-06-28,Consumer Staples,Soft Drinks
MO,Altria Group,COMPANY,USD,1957-03-04,Consumer Staples,Tobacco
MOS,The Mosaic Company,COMPANY,USD,2011-09-26,Materials,Fertilizers & Agricultural Chemicals
MPC,Marathon Petroleum,COMPANY,USD,2011-07-01,Energy,Oil & Gas Refining & Marketing
MPWR,Monolithic Power Systems,COMPANY,USD,2021-02-12,Information Technology,Semiconductors
MRK,Merck & Co,COMPANY,USD,1957-03-04,Health Care,Pharmaceuticals
MRO,Marathon Oil,COMPANY,USD,1991-05-01,Energy,Oil & Gas Exploration & Production
MS,Morgan Stanley,COMPANY,USD,,Financials,Investment Banking & Brokerage
MSCI,MSCI,COMPANY,USD,2018-04-04,Financials,Financial Exchanges & Data
MSFT,Microsoft,COMPANY,USD,1994-06-01,Information Technology,Systems Software
